City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,saint-louis,16.3333,-15.0,30.69,27,2,3.08,SN,1670360142
156,rawson,-43.3002,-65.1023,20.82,39,15,8.23,AR,1670360156
157,nokaneng,-19.6667,22.2667,24.51,51,83,5.09,BW,1670360219
158,cockburn town,21.4612,-71.1419,25.72,63,78,7.56,TC,1670360219
159,newport,51.5877,-2.9984,5.81,77,25,4.76,GB,1670359952
160,altamont,42.2068,-121.7372,2.66,77,10,0.89,US,1670360219
161,sainte-suzanne,-20.9061,55.6089,25.26,87,75,7.2,RE,1670360219
162,sweetwater,25.7634,-80.3731,27.23,68,6,1.79,US,1670360220
163,pisco,-13.7,-76.2167,24.03,60,0,9.26,PE,1670360220
164,hambantota,6.1241,81.1185,25.38,83,100,0.9,LK,1670360221
165,villarrobledo,39.2699,-2.6012,9.88,87,87,2.59,ES,1670360221
166,quelimane,-17.8786,36.8883,27.97,78,75,7.72,MZ,1670360221
167,kaitangata,-46.2817,169.8464,11.74,56,3,5.9,NZ,1670360167
168,lazaro cardenas,17.9583,-102.2,28.75,66,2,4.05,MX,1670360222
169,hirado,33.3597,129.5531,7.99,59,100,7.54,JP,1670360223
170,tezu,27.9167,96.1667,15.58,39,0,1.99,IN,1670360223
171,bedesa,8.9,40.7833,16.47,48,46,0.96,ET,1670360223
172,yilan,24.757,121.753,18.28,94,98,1.05,TW,1670360224
173,labuhan,-6.8844,112.2051,25.29,86,100,2.49,ID,1670360224
174,natal,-5.795,-35.2094,27.36,69,40,5.66,BR,1670360067
175,joensuu,62.6012,29.7632,-3.73,100,100,4.63,FI,1670360225
176,lata,40.1629,-8.3327,12.26,94,100,1.19,PT,1670360225
177,mafeteng,-29.823,27.2374,15.12,23,15,1.12,LS,1670360225
178,anajatuba,-3.2644,-44.6197,26.78,75,61,2.44,BR,1670360226
179,mandurah,-32.55,115.7,14.43,71,0,7.97,AU,1670360226
180,mackay,-21.15,149.2,23.71,69,0,3.13,AU,1670360226
181,ha giang,22.8333,104.9833,16.16,93,100,0.88,VN,1670360227
182,muyezerskiy,63.9333,31.65,-3.9,92,100,4.42,RU,1670360228
183,saint-augustin,51.226,-58.6502,-4.2,91,100,2.16,CA,1670360228
184,namatanai,-3.6667,152.4333,26.9,80,100,2.61,PG,1670360228
185,codrington,-38.2667,141.9667,13.26,80,36,3.61,AU,1670360229
186,yakeshi,49.2833,120.7333,-21.59,100,100,2.36,CN,1670360229
187,bhimunipatnam,17.8833,83.4333,20.73,77,99,2.78,IN,1670360230
188,maracacume,-2.0428,-45.9592,26.98,72,95,1.34,BR,1670360233
189,oparino,59.8518,48.2783,-11.01,80,100,4.59,RU,1670360233
190,kargil,34.5667,76.1,-7.94,51,3,1.32,IN,1670360233
191,cidreira,-30.1811,-50.2056,22.58,83,12,3.54,BR,1670360149
192,kadaya,50.9327,119.2911,-27.61,99,16,1.14,RU,1670360234
193,baykit,61.67,96.37,-11.46,90,100,3.69,RU,1670360234
194,anadyr,64.75,177.4833,-10.72,85,75,5.0,RU,1670360235
195,severo-kurilsk,50.6789,156.125,-2.78,82,51,4.44,RU,1670360235
196,awjilah,29.1081,21.2869,20.64,19,67,3.55,LY,1670360235
197,mashhad,36.297,59.6062,0.08,93,20,2.06,IR,1670360236
198,houma,29.5958,-90.7195,27.78,76,90,3.13,US,1670360112
199,klaksvik,62.2266,-6.589,2.51,64,100,11.29,FO,1670360156
200,dingle,10.9995,122.6711,23.39,93,36,3.25,PH,1670360236
201,baghdad,33.3406,44.4009,11.95,87,1,0.0,IQ,1670360107
202,rumoi,43.9344,141.6428,0.81,68,100,6.51,JP,1670360237
203,sawkta,8.6319,-13.2019,27.01,80,15,3.93,SL,1670360237
204,mujiayingzi,42.1167,118.7833,-8.65,43,0,3.85,CN,1670360237
205,port keats,-14.25,129.55,27.17,81,89,1.24,AU,1670360238
206,lorengau,-2.0226,147.2712,26.5,83,96,3.75,PG,1670360238
207,bathsheba,13.2167,-59.5167,28.34,80,20,3.6,BB,1670360238
208,casablanca,33.5928,-7.6192,17.12,93,93,1.79,MA,1670360075
209,touros,-5.1989,-35.4608,26.26,75,70,5.98,BR,1670359996
210,tall kayf,37.0833,41.0667,10.78,71,88,0.72,TR,1670360239
211,pemangkat,1.1667,108.9667,24.85,90,100,2.07,ID,1670360239
212,sikasso,10.9167,-7.0,28.47,24,7,2.05,ML,1670360240
213,anloga,5.7947,0.8973,27.65,82,30,4.59,GH,1670360240
214,san rafael,-34.6177,-68.3301,31.24,21,0,3.0,AR,1670360241
215,acajutla,13.5928,-89.8275,28.63,54,1,2.41,SV,1670360241
216,nantucket,41.2835,-70.0995,11.19,91,100,7.28,US,1670360228
217,narsaq,60.9167,-46.05,1.9,99,100,2.59,GL,1670360242
218,alcala la real,37.4614,-3.923,9.48,90,98,0.25,ES,1670360242
219,ewa beach,21.3156,-158.0072,27.69,71,99,3.58,US,1670360242
220,puerto escondido,15.85,-97.0667,28.45,61,0,2.63,MX,1670360243
221,victoria,22.2855,114.1577,17.4,76,7,4.92,HK,1670360032
222,wangaratta,-36.3667,146.3333,15.09,78,89,0.81,AU,1670360243
223,rovaniemi,66.5,25.7167,-3.33,93,100,1.03,FI,1670360243
224,cururupu,-1.8283,-44.8683,26.26,81,17,2.66,BR,1670360244
225,zhuanghe,39.7008,122.9911,-1.19,48,0,2.74,CN,1670360244
226,warmbad,-28.45,18.7333,20.42,33,0,5.07,NA,1670360244
227,sosnovo-ozerskoye,52.5249,111.5418,-13.1,74,99,5.86,RU,1670360245
228,fairbanks,64.8378,-147.7164,-5.43,87,75,0.0,US,1670360245
229,georgetown,5.4112,100.3354,24.99,91,40,2.68,MY,1670359880
230,corinto,37.9407,22.9573,13.83,84,99,1.83,GR,1670360246
231,faanui,-16.4833,-151.75,26.68,74,17,7.92,PF,1670360165
232,huarmey,-10.0681,-78.1522,21.97,73,52,4.88,PE,1670360246
233,wajid,3.8093,43.2471,25.32,68,100,6.01,SO,1670360246
234,mama,58.3106,112.8986,-11.88,93,100,4.51,RU,1670360247
235,waingapu,-9.6567,120.2641,25.24,82,36,1.33,ID,1670360247
236,harare,-17.8294,31.0539,17.68,75,67,1.99,ZW,1670360247
237,carutapera,-1.195,-46.02,25.79,84,18,4.21,BR,1670360001
238,consett,54.854,-1.8316,2.46,90,18,4.95,GB,1670360248
239,san pedro,14.35,121.0167,25.75,85,20,2.06,PH,1670360194
240,okhotsk,59.3833,143.3,-26.6,91,77,2.5,RU,1670360162
241,serro,-18.6047,-43.3794,18.97,93,100,0.67,BR,1670360248
242,aksu,41.1231,80.2644,-4.02,39,100,1.1,CN,1670360248
243,boyolangu,-8.1181,111.8935,24.1,88,100,0.92,ID,1670360249
244,kununurra,-15.7667,128.7333,26.99,94,75,0.0,AU,1670360249
245,brindisi,40.5833,17.6667,14.89,89,64,3.68,IT,1670360243
246,ahipara,-35.1667,173.1667,16.93,86,100,7.03,NZ,1670360249
247,muli,2.9167,73.5667,26.55,77,100,2.71,MV,1670360250
248,sur,22.5667,59.5289,22.33,58,0,1.76,OM,1670360250
249,awbari,26.5921,12.7805,17.88,22,1,0.85,LY,1670360113
250,oranjemund,-28.55,16.4333,15.07,91,22,4.41,NA,1670360250
251,ngunguru,-35.6167,174.5,16.7,94,100,9.66,NZ,1670360251
252,vallenar,-28.5708,-70.7581,28.78,33,14,3.87,CL,1670360251
253,grindavik,63.8424,-22.4338,3.26,87,100,3.09,IS,1670360139
254,lufilufi,-13.8745,-171.5986,26.88,77,93,5.28,WS,1670360252
255,albanel,48.8832,-72.4487,1.99,80,100,4.12,CA,1670360084
256,rio cuarto,-33.1307,-64.3499,37.87,20,40,4.12,AR,1670360154
257,ivdel,60.6911,60.4206,-19.75,98,24,1.56,RU,1670360252
258,lavrentiya,65.5833,-171.0,-6.47,89,99,0.99,RU,1670360145
259,bambanglipuro,-7.95,110.2833,23.94,91,100,1.74,ID,1670360126
260,tura,25.5198,90.2201,15.08,87,45,1.26,IN,1670360252
261,hurghada,27.2574,33.8129,18.02,45,0,3.6,EG,1670360253
262,ifanadiana,-21.3,47.6333,19.86,96,62,0.22,MG,1670360253
263,cabo san lucas,22.8909,-109.9124,29.78,57,12,3.53,MX,1670360173
264,east london,-33.0153,27.9116,18.14,84,53,3.54,ZA,1670360149
265,provideniya,64.3833,-173.3,-1.94,80,75,6.0,RU,1670360137
266,harstad,68.799,16.5293,-0.47,100,90,4.02,NO,1670360254
267,arrecife,28.963,-13.5477,18.99,82,40,2.57,ES,1670360254
268,wamba,8.9333,8.6,24.91,23,91,2.22,NG,1670360254
269,lyubech,51.7026,30.6569,-6.84,75,22,6.01,UA,1670360254
270,tessalit,20.1986,1.0114,25.82,14,98,4.94,ML,1670360152
271,chara,56.9064,118.2631,-22.52,76,30,1.51,RU,1670360255
272,hobyo,5.3505,48.5268,26.35,76,100,7.3,SO,1670360255
273,fort morgan,40.2503,-103.8,9.36,37,0,2.06,US,1670360255
274,ketchikan,55.3422,-131.6461,2.99,97,100,2.12,US,1670360256
275,usoke,-5.1667,32.35,18.55,83,26,1.38,TZ,1670360256
276,tuensang,26.2833,94.8333,12.29,92,1,1.45,IN,1670360256
277,semey,50.4111,80.2275,-26.14,99,42,1.73,KZ,1670360257
278,kasungu,-13.0333,33.4833,19.59,82,97,1.66,MW,1670360257
279,usinsk,65.9939,57.5281,-14.99,92,100,9.24,RU,1670360257
280,lagoa,39.05,-27.9833,14.6,81,100,15.79,PT,1670360131
281,svetlogorsk,52.6333,29.7333,-7.63,85,89,5.97,BY,1670360258
282,manadhoo,5.7667,73.3833,27.16,76,93,2.94,MV,1670360258
283,shieli,44.1667,66.75,-13.36,90,5,1.65,KZ,1670360258
284,san policarpo,12.1791,125.5072,27.22,70,100,4.04,PH,1670360259
285,robertsport,6.7533,-11.3686,27.0,82,44,4.33,LR,1670360259
